HORVU0Hr1G017440	MLOC_13906
HORVU0Hr1G017450	MLOC_4297
HORVU0Hr1G017490	MLOC_5165
HORVU0Hr1G017530	MLOC_3789
HORVU0Hr1G017560	MLOC_3876
HORVU0Hr1G017620	MLOC_70571
HORVU0Hr1G017760	MLOC_18359
HORVU0Hr1G017800	MLOC_37965
HORVU0Hr1G017830	MLOC_76896
HORVU0Hr1G017850	MLOC_58238
HORVU0Hr1G018190	MLOC_58764
HORVU0Hr1G018200	MLOC_58763
HORVU0Hr1G018270	MLOC_70425
HORVU0Hr1G018380	MLOC_5352
HORVU0Hr1G018470	MLOC_29589
HORVU0Hr1G018510	MLOC_61327
HORVU0Hr1G018590	MLOC_65042
HORVU0Hr1G018670	MLOC_29039
HORVU0Hr1G018910	MLOC_55908
HORVU0Hr1G018970	MLOC_60996
HORVU0Hr1G019570	MLOC_78076
HORVU0Hr1G019620	MLOC_11024
HORVU0Hr1G019630	MLOC_74911
HORVU0Hr1G019640	MLOC_4332
HORVU0Hr1G019650	MLOC_30072
HORVU0Hr1G019750	MLOC_4149
HORVU0Hr1G019760	MLOC_45963
HORVU0Hr1G019770	MLOC_66256
HORVU0Hr1G019780	MLOC_51564
HORVU0Hr1G019800	MLOC_72166
HORVU0Hr1G019840	MLOC_67559
HORVU0Hr1G020110	MLOC_19554
HORVU0Hr1G020130	MLOC_60120
HORVU0Hr1G020270	MLOC_57908
HORVU0Hr1G020300	MLOC_14879
HORVU0Hr1G020350	MLOC_63645
HORVU0Hr1G020630	MLOC_10743
HORVU0Hr1G020720	MLOC_61737
HORVU0Hr1G020750	MLOC_79756
HORVU0Hr1G020800	MLOC_61294
HORVU0Hr1G021000	MLOC_67444
HORVU0Hr1G021050	MLOC_71086
HORVU0Hr1G021200	MLOC_26318
HORVU0Hr1G021220	MLOC_40119
HORVU0Hr1G021230	MLOC_44530
HORVU0Hr1G021240	MLOC_63140
HORVU0Hr1G021390	MLOC_65385
HORVU0Hr1G021450	MLOC_74961
HORVU0Hr1G021500	MLOC_57261
HORVU0Hr1G021610	MLOC_17209
HORVU0Hr1G021640	MLOC_71258
HORVU0Hr1G021670	MLOC_16579
HORVU0Hr1G021810	MLOC_67374
HORVU0Hr1G021940	MLOC_54330
HORVU0Hr1G021980	MLOC_70467
HORVU0Hr1G022000	MLOC_70469
HORVU0Hr1G022030	MLOC_57576
HORVU0Hr1G022050	MLOC_57575
HORVU0Hr1G022140	MLOC_63000
HORVU0Hr1G022240	MLOC_21176
HORVU0Hr1G022260	MLOC_74381
HORVU0Hr1G022270	MLOC_19058
HORVU0Hr1G022280	MLOC_80338
HORVU0Hr1G022290	MLOC_66502
HORVU0Hr1G022300	MLOC_38263
HORVU0Hr1G022310	MLOC_72715
HORVU0Hr1G022330	MLOC_64205
HORVU0Hr1G022340	MLOC_4188
HORVU0Hr1G022360	MLOC_66861
HORVU0Hr1G022470	MLOC_39511
HORVU0Hr1G022470	MLOC_76294
HORVU0Hr1G022510	MLOC_17866
HORVU0Hr1G022590	MLOC_39521
HORVU0Hr1G022650	MLOC_20036
HORVU0Hr1G022670	MLOC_66232
HORVU0Hr1G022680	MLOC_17072
